Lon,Lat,GPS Head,PCI548_4_mean,PCI548_5_mean,PCI548_10_mean,PCI548_11_mean,PCI548_12_mean,PCI548_13_mean,PCI548_20_mean,PCI548_21_mean,PCI548_26_mean,PCI548_27_mean,PCI548_cell_mean,PCI548_4_max,PCI548_5_max,PCI548_10_max,PCI548_11_max,PCI548_12_max,PCI548_13_max,PCI548_20_max,PCI548_21_max,PCI548_26_max,PCI548_27_max,PCI548_cell_max,PCI548_4_min,PCI548_5_min,PCI548_10_min,PCI548_11_min,PCI548_12_min,PCI548_13_min,PCI548_20_min,PCI548_21_min,PCI548_26_min,PCI548_27_min,PCI548_cell_min,PCI548_4_std,PCI548_5_std,PCI548_10_std,PCI548_11_std,PCI548_12_std,PCI548_13_std,PCI548_20_std,PCI548_21_std,PCI548_26_std,PCI548_27_std,PCI548_cell_std,PCI548_4_count,PCI548_5_count,PCI548_10_count,PCI548_11_count,PCI548_12_count,PCI548_13_count,PCI548_20_count,PCI548_21_count,PCI548_26_count,PCI548_27_count,PCI548_cell_count,run
-93.262093,44.975349,120,,,,,,,-127.38499999999999,,,-148.21,-128.24,,,,,,,-127.38,,,-148.21,-127.31,,,,,,,-127.39,,,-148.21,-130.02,,,,,,,0.0070710678118640685,,,,1.5420440979427317,0,0,0,0,0,0,2,0,0,1,3,"['14', '14', '14']"
-93.262085,44.975349,120,,,,,,,-126.36,,,,-126.345,,,,,,,-125.33,,,,-125.32,,,,,,,-127.39,,,,-127.37,,,,,,,1.4566399692442895,,,,1.4495689014324304,0,0,0,0,0,0,2,0,0,0,2,"['14', '14']"
-93.262077,44.975296,300,,,,-112.82,,,,,,,-112.81,,,,-112.82,,,,,,,-112.81,,,,-112.82,,,,,,,-112.81,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,['7']
-93.262077,44.9753,300,,,,-113.20333333333333,,,,,,,-113.72666666666667,,,,-112.82,,,,,,,-113.6,,,,-113.97,,,,,,,-113.98,,,,0.6639528095680709,,,,,,,0.2193931022920654,0,0,0,3,0,0,0,0,0,0,3,"['7', '7', '7']"
-93.262077,44.9753,330,,,,-114.39,,,-118.41,,,,-116.0,,,,-114.39,,,-118.41,,,,-114.39,,,,-114.39,,,-118.41,,,,-117.61,,,,,,,,,,,2.276883835420682,0,0,0,1,0,0,1,0,0,0,2,"['7', '7']"
-93.262077,44.975349,120,,,,,,,-126.38,,,,-126.37,,,,,,,-126.38,,,,-126.37,,,,,,,-126.38,,,,-126.37,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,1,['14']
-93.26207,44.975288,270,,,,-113.766,,,-117.29400000000001,,,,-114.846,,,,-112.58,,,-116.67,,,,-112.38,,,,-114.28,,,-118.2,,,,-116.62,,,,0.6977678697102672,,,0.5560395669374603,,,,1.6459256092275627,0,0,0,5,0,0,5,0,0,0,10,"['7', '7', '7', '7', '7', '7', '7', '7', '7', '7']"
-93.26207,44.975292,270,,,,-112.58,,,,,,,-112.33,,,,-112.58,,,,,,,-112.33,,,,-112.58,,,,,,,-112.33,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,['7']
-93.26207,44.975296,300,,,,-112.31,,,,,,,-112.3,,,,-112.31,,,,,,,-112.3,,,,-112.31,,,,,,,-112.3,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,['7']
-93.26207,44.9753,0,,,,-118.07538461538462,,-115.22173913043478,-119.68,,-125.79,,-115.88897435897437,,,,-115.36,,-111.94,-119.67,,-125.79,,-109.98,,,,-123.73,,-119.54,-119.69,,-125.79,,-122.15,,,,2.777134660594788,,2.2316089836990938,0.014142135623733162,,,,2.8252738990385335,0,0,0,13,0,23,2,0,1,0,39,"['7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7']"
-93.26207,44.9753,60,,,,-116.22,,,,,,,-116.22,,,,-116.22,,,,,,,-116.22,,,,-116.22,,,,,,,-116.22,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,['7']
-93.26207,44.9753,150,,,,-116.99,,,,,,,-116.34,,,,-116.99,,,,,,,-116.34,,,,-116.99,,,,,,,-116.34,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,['7']
-93.26207,44.9753,210,,,,-119.19,,,,,,,-119.14,,,,-119.19,,,,,,,-119.14,,,,-119.19,,,,,,,-119.14,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,['7']
-93.26207,44.9753,270,,,,-119.25,,,,,,,-119.13,,,,-119.25,,,,,,,-119.13,,,,-119.25,,,,,,,-119.13,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,['7']
-93.26207,44.9753,330,,,,-119.69,,,,,-122.215,,-118.82499999999999,,,,-119.43,,,,,-121.36,,-118.32,,,,-119.95,,,,,-123.07,,-119.12,,,,0.36769552621699686,,,,,1.2091525958289968,,0.35781745811704213,0,0,0,2,0,0,0,0,2,0,4,"['7', '7', '7', '7']"
-93.26207,44.975349,120,,,,,,,-125.10000000000001,,,,-125.09666666666665,,,,,,,-123.88,,,,-123.88,,,,,,,-127.12,,,,-127.11,,,,,,,1.7619307591389737,,,,1.7561985461027292,0,0,0,0,0,0,3,0,0,0,3,"['14', '14', '14']"
-93.262062,44.975288,240,,,,-114.474,,,,,,,-114.49000000000001,,,,-113.85,,,,,,,-113.96,,,,-115.34,,,,,,,-115.23,,,,0.7913469529858544,,,,,,,0.5414332830552621,0,0,0,5,0,0,0,0,0,0,5,"['7', '7', '7', '7', '7']"
