Lon,Lat,GPS Head,PCI,Beam,ssRSRP_mean,ssRSRQ_mean,ssSINR_mean,ssbRSRP_mean,criRSRP_mean,Pathloss_mean,BLER_mean,CQI_mean,run
-93.262062,44.975368,180,1,13,-100.43333333333332,-10.893333333333333,9.103333333333333,-96.89,-89.61333333333334,112.55666666666667,3.466666666666667,12.533333333333333,"['14', '14', '14']"
-93.262062,44.975372,180,1,13,-104.8,-11.43,6.95,-100.5,-90.0,116.4,0.0,13.0,['14']
-93.262062,44.975372,210,1,10,-104.9,-10.98,6.26,-103.67,-91.33,117.5,4.1,12.6,['14']
-93.262062,44.975376,210,1,10,-103.54,-10.82,3.58,-102.67,-97.33,118.4,4.43,10.6,['14']
-93.262062,44.97538,210,1,13,-101.15666666666668,-10.833333333333334,4.573333333333333,-100.16666666666667,-94.16666666666667,113.26666666666667,5.246666666666667,10.533333333333333,"['14', '14', '14']"
-93.262062,44.975384,210,1,10,-98.07,-10.52,8.72,-98.75,-93.0,113.0,7.7,11.4,['14']
-93.262054,44.9753,0,1,13,-107.90333333333332,-14.126666666666667,-2.6133333333333333,-105.55666666666667,-97.83333333333333,120.82666666666667,1.7033333333333334,9.806666666666667,"['7', '7', '7']"
-93.262054,44.975349,120,1,13,-103.63,-10.81,-0.06,-102.67,-99.0,114.8,0.33,9.6,['14']
-93.262054,44.975353,180,1,13,-96.23,-10.63,13.61,-92.0,-85.5,108.0,3.28,13.6,['14']
-93.262054,44.975357,180,1,13,-99.08500000000001,-10.73,11.855,-96.25,-85.75,111.80000000000001,1.395,13.9,"['14', '14']"
-93.262054,44.975384,210,1,10,-95.48,-10.45,14.5,-93.33,-84.67,108.0,2.95,13.6,['14']
-93.262054,44.975388,210,1,10,-95.7,-10.45,14.76,-94.33,-84.33,108.6,1.97,14.0,['14']
-93.262047,44.975288,210,1,11,-103.27000000000001,-14.96,0.0924999999999998,-100.5,-96.33500000000001,119.05,4.425,8.165,"['7', '7']"
-93.262047,44.9753,0,1,10,-107.34,-12.92,4.11,-101.0,-96.0,117.0,0.0,11.0,['7']
-93.262047,44.9753,0,1,27,-107.43,-11.825,5.045,-105.83500000000001,-99.0,120.0,0.0,8.7,"['7', '7']"
-93.262047,44.975349,90,1,13,-105.60249999999999,-11.372499999999999,5.8,-104.4175,-94.7075,119.6,2.54,11.1,"['14', '14', '14', '14']"
-93.262047,44.975349,150,1,13,-101.92,-10.7,9.04,-102.0,-93.67,116.67,0.59,12.17,['14']
-93.262047,44.975349,180,1,13,-97.56,-10.626666666666667,7.906666666666666,-97.89,-90.89,111.78000000000002,3.31,11.176666666666668,"['14', '14', '14']"
-93.262047,44.975388,210,1,10,-93.99,-10.43,16.27,-94.5,-85.5,107.2,2.13,13.2,['14']
-93.262047,44.975391,240,1,10,-93.125,-10.41,19.145000000000003,-91.08500000000001,-83.16499999999999,104.7,1.5550000000000002,13.5,"['14', '14']"
-93.262047,44.975391,240,1,13,-94.82,-10.46,18.97,-91.67,-83.67,108.0,2.46,14.0,['14']
-93.262047,44.975395,240,1,13,-94.34,-10.48,13.94,-95.0,-87.33,106.67,4.01,13.33,['14']
-93.262047,44.97541,270,1,12,-104.03,-11.36,6.65,-100.0,-93.0,119.0,0.0,10.5,['5']
-93.262047,44.975414,300,1,12,-103.17,-11.14,4.74,-102.0,-95.0,117.6,0.0,10.0,['5']
-93.262047,44.975418,300,1,12,-104.7,-11.26,-0.15,-103.0,-98.5,119.4,0.0,10.5,['5']
-93.262047,44.975422,300,1,5,-103.64,-11.43,2.1799999999999997,-101.5,-95.5,117.5,8.675,9.0,"['5', '5']"
-93.262047,44.975426,330,1,5,-102.71,-11.515,3.43,-101.0,-93.25,116.86500000000001,0.0,10.46,"['5', '5']"
-93.262047,44.97543,270,1,5,-104.03,-11.03,1.14,-102.0,-96.0,120.0,0.0,9.0,['5']
-93.262047,44.97543,330,1,5,-104.025,-11.265,1.6949999999999998,-102.0,-96.0,119.16499999999999,0.0,8.835,"['5', '5']"
-93.262047,44.975433,180,1,5,-102.63,-10.87,4.26,-101.0,-98.0,117.17,0.0,8.0,['5']
-93.262047,44.975433,210,1,5,-103.45,-10.98,2.7,-101.0,-94.0,119.0,0.0,8.0,['5']
-93.262047,44.975769,210,1,10,-90.31,-10.43,-0.695,-89.0,-93.5,106.0,21.0,10.625,"['8', '8']"
-93.262047,44.975769,210,1,13,-89.46833333333332,-10.438333333333334,8.964166666666666,-88.08333333333333,-83.12583333333335,105.45833333333333,7.095,12.688333333333333,"['8', '8', '8', '8', '8', '8']"
-93.262047,44.975773,210,1,13,-89.89,-10.48,17.58,-88.0,-77.0,105.0,0.0,14.0,['8']
-93.262039,44.975288,210,1,11,-100.86,-15.23,-0.29000000000000004,-98.33500000000001,-89.83500000000001,119.785,5.355,12.335,"['7', '7']"
-93.262039,44.975288,210,1,13,-100.215,-12.149999999999999,0.165,-99.4,-96.5,117.5,12.725000000000001,8.335,"['7', '7']"
-93.262039,44.975292,210,1,10,-97.17,-10.74,5.15,-96.0,-92.0,114.0,0.55,11.33,['7']
-93.262039,44.975296,210,1,10,-96.09,-10.63,3.58,-95.0,-97.0,110.0,4.58,9.0,['7']
-93.262039,44.975349,120,1,10,-105.2,-11.02,7.73,-102.5,-95.75,121.0,3.71,10.6,['14']
-93.262039,44.975349,120,1,13,-103.99000000000001,-10.954999999999998,7.114999999999999,-102.6675,-94.02,117.275,2.42,11.3125,"['14', '14', '14', '14']"
