Lon,Lat,GPS Head,PCI255_4_mean,PCI255_5_mean,PCI255_10_mean,PCI255_11_mean,PCI255_12_mean,PCI255_13_mean,PCI255_20_mean,PCI255_21_mean,PCI255_26_mean,PCI255_27_mean,PCI255_28_mean,PCI255_29_mean,PCI255_cell_mean,PCI255_4_max,PCI255_5_max,PCI255_10_max,PCI255_11_max,PCI255_12_max,PCI255_13_max,PCI255_20_max,PCI255_21_max,PCI255_26_max,PCI255_27_max,PCI255_28_max,PCI255_29_max,PCI255_cell_max,PCI255_4_min,PCI255_5_min,PCI255_10_min,PCI255_11_min,PCI255_12_min,PCI255_13_min,PCI255_20_min,PCI255_21_min,PCI255_26_min,PCI255_27_min,PCI255_28_min,PCI255_29_min,PCI255_cell_min,PCI255_4_std,PCI255_5_std,PCI255_10_std,PCI255_11_std,PCI255_12_std,PCI255_13_std,PCI255_20_std,PCI255_21_std,PCI255_26_std,PCI255_27_std,PCI255_28_std,PCI255_29_std,PCI255_cell_std,PCI255_4_count,PCI255_5_count,PCI255_10_count,PCI255_11_count,PCI255_12_count,PCI255_13_count,PCI255_20_count,PCI255_21_count,PCI255_26_count,PCI255_27_count,PCI255_28_count,PCI255_29_count,PCI255_cell_count,run
-93.26223,44.975349,120,,,,-119.53666666666668,,,-119.94,,,,,,-118.32,,,,-119.1,,,-119.94,,,,,,-116.86,,,,-120.2,,,-119.94,,,,,,-119.24,,,,0.5839805932848622,,,,,,,,,1.0818194550539977,0,0,0,3,0,0,1,0,0,0,0,0,4,"['14', '14', '14', '14']"
-93.262222,44.975349,120,,,,-117.38199999999999,,,,,,,,,-117.24000000000001,,,,-113.79,,,,,,,,,-114.2,,,,-119.31,,,,,,,,,-119.59,,,,2.161288967260044,,,,,,,,,1.9610328911061106,0,0,0,5,0,0,0,0,0,0,0,0,5,"['14', '14', '14', '14', '14']"
-93.262215,44.975349,120,,,,-112.43,,,,,,,,,-112.64,,,,-112.43,,,,,,,,,-112.64,,,,-112.43,,,,,,,,,-112.64,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,['14']
-93.262207,44.975349,120,-113.55,,,-114.23,,,,,,,,,-113.495,-113.55,,,-114.23,,,,,,,,,-113.1,-113.55,,,-114.23,,,,,,,,,-113.89,,,,,,,,,,,,,0.558614357137372,1,0,0,1,0,0,0,0,0,0,0,0,2,"['14', '14']"
-93.262199,44.975349,120,,,,-112.17999999999999,,,,,,,,,-112.27999999999999,,,,-108.78,,,,,,,,,-109.52,,,,-114.38,,,,,,,,,-114.41,,,,2.9866369046136105,,,,,,,,,2.505134726915902,0,0,0,3,0,0,0,0,0,0,0,0,3,"['14', '14', '14']"
-93.262192,44.975349,120,,,,-109.55,,,,,,,,,-109.87,,,,-108.32,,,,,,,,,-109.05,,,,-110.78,,,,,,,,,-110.69,,,,1.7394826817189124,,,,,,,,,1.1596551211459334,0,0,0,2,0,0,0,0,0,0,0,0,2,"['14', '14']"
-93.262184,44.975349,120,,,,-111.97,,,,,,,,,-112.48,,,,-111.97,,,,,,,,,-112.48,,,,-111.97,,,,,,,,,-112.48,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,['14']
-93.262177,44.975349,120,,,,-114.60333333333334,,,,,,,,,-114.76666666666667,,,,-112.88,,,,,,,,,-113.4,,,,-116.45,,,,,,,,,-116.36,,,,1.788192756202006,,,,,,,,,1.4929612631724034,0,0,0,3,0,0,0,0,0,0,0,0,3,"['14', '14', '14']"
-93.262169,44.975349,120,,,,-116.95,,,,,,,,,-116.88,,,,-116.95,,,,,,,,,-116.88,,,,-116.95,,,,,,,,,-116.88,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,['14']
-93.262161,44.975349,120,,,,,,,-121.81,,,,,,-118.775,,,,,,,-121.28,,,,,,-117.67,,,,,,,-122.34,,,,,,-119.88,,,,,,,0.7495331880577419,,,,,,1.5627059864222606,0,0,0,0,0,0,2,0,0,0,0,0,2,"['14', '14']"
