Lon,Lat,GPS Head,PCI1_4_mean,PCI1_5_mean,PCI1_10_mean,PCI1_11_mean,PCI1_12_mean,PCI1_13_mean,PCI1_26_mean,PCI1_28_mean,PCI1_29_mean,PCI1_cell_mean,PCI1_20_mean,PCI1_21_mean,PCI1_27_mean,PCI1_4_max,PCI1_5_max,PCI1_10_max,PCI1_11_max,PCI1_12_max,PCI1_13_max,PCI1_26_max,PCI1_28_max,PCI1_29_max,PCI1_cell_max,PCI1_20_max,PCI1_21_max,PCI1_27_max,PCI1_4_min,PCI1_5_min,PCI1_10_min,PCI1_11_min,PCI1_12_min,PCI1_13_min,PCI1_26_min,PCI1_28_min,PCI1_29_min,PCI1_cell_min,PCI1_20_min,PCI1_21_min,PCI1_27_min,PCI1_4_std,PCI1_5_std,PCI1_10_std,PCI1_11_std,PCI1_12_std,PCI1_13_std,PCI1_26_std,PCI1_28_std,PCI1_29_std,PCI1_cell_std,PCI1_20_std,PCI1_21_std,PCI1_27_std,PCI1_4_count,PCI1_5_count,PCI1_10_count,PCI1_11_count,PCI1_12_count,PCI1_13_count,PCI1_26_count,PCI1_28_count,PCI1_29_count,PCI1_cell_count,PCI1_20_count,PCI1_21_count,PCI1_27_count,run
-93.262215,44.975349,120,-110.2,,-104.66,-111.94,,-101.12,,,,-101.06,,,,-110.2,,-104.66,-111.94,,-101.12,,,,-101.06,,,,-110.2,,-104.66,-111.94,,-101.12,,,,-101.06,,,,,,,,,,,,,,,,,1,0,1,1,0,1,0,0,0,1,0,0,0,['14']
-93.262207,44.975349,120,-108.77,,-103.59,-112.65,,-102.255,,,,-102.22999999999999,,,,-107.88,,-103.34,-110.76,,-101.55,,,,-101.52,,,,-109.66,,-103.84,-114.54,,-102.96,,,,-102.94,,,,1.2586500705120554,,0.3535533905932738,2.6728636328851505,,0.9970205614730296,,,,1.0040916292849036,,,,2,0,2,2,0,2,0,0,0,2,0,0,0,"['14', '14']"
-93.262199,44.975349,120,-111.44,,-107.11,-113.77333333333333,,-103.75,-117.27,,,-103.56,,,,-108.34,,-105.6,-113.14,,-103.16,-117.27,,,-102.79,,,,-114.54,,-108.71,-114.6,,-104.05,-117.27,,,-104.0,,,,4.384062043356602,,1.5569521508382915,0.7489548272982367,,0.5109794516416557,,,,0.6691038783328007,,,,2,0,3,3,0,3,1,0,0,3,0,0,0,"['14', '14', '14']"
-93.262192,44.975349,120,-114.12,,-108.28999999999999,-113.3,,-103.195,-112.60499999999999,,,-103.18,,,,-114.12,,-108.12,-113.3,,-103.14,-110.55,,,-103.13,,,,-114.12,,-108.46,-113.3,,-103.25,-114.66,,,-103.23,,,,,,0.24041630560341348,,,0.0777817459305148,2.906208870676705,,,0.0707106781186658,,,,1,0,2,1,0,2,2,0,0,2,0,0,0,"['14', '14']"
-93.262184,44.975349,120,,,-106.58,-110.85,,-101.48,-108.08,,,-101.48,,,,,,-106.58,-110.85,,-101.48,-108.08,,,-101.48,,,,,,-106.58,-110.85,,-101.48,-108.08,,,-101.48,,,,,,,,,,,,,,,,,0,0,1,1,0,1,1,0,0,1,0,0,0,['14']
-93.262177,44.975349,120,-113.38,,-105.21333333333332,-110.68,,-101.36,-108.125,,,-100.94333333333334,,,,-113.38,,-104.41,-110.56,,-101.23,-108.08,,,-100.76,,,,-113.38,,-105.85,-110.75,,-101.46,-108.17,,,-101.09,,,,,,0.7343250869562703,0.10440306508910428,,0.11789826122551118,0.06363961030679169,,,0.16802777548171172,,,,1,0,3,3,0,3,2,0,0,3,0,0,0,"['14', '14', '14']"
-93.262169,44.975349,120,-113.41,,-105.06,-110.34,,-100.92,,,,-100.87,,,,-113.41,,-105.06,-110.34,,-100.92,,,,-100.87,,,,-113.41,,-105.06,-110.34,,-100.92,,,,-100.87,,,,,,,,,,,,,,,,,1,0,1,1,0,1,0,0,0,1,0,0,0,['14']
-93.262161,44.975349,120,-113.595,,-105.055,-110.32,,-102.065,,,,-102.055,,,,-113.45,,-104.66,-109.98,,-101.68,,,,-101.66,,,,-113.74,,-105.45,-110.66,,-102.45,,,,-102.45,,,,0.20506096654409317,,0.558614357137372,0.4808326112068521,,0.5444722215136438,,,,0.558614357137372,,,,2,0,2,2,0,2,0,0,0,2,0,0,0,"['14', '14']"
-93.262154,44.975349,120,-114.05000000000001,,-105.58999999999999,-113.15666666666665,,-104.12333333333333,-119.09,,,-103.98333333333333,,,,-113.62,,-105.34,-110.9,,-103.76,-119.09,,,-103.59,,,,-114.48,,-106.08,-114.52,,-104.56,-119.09,,,-104.38,,,,0.6081118318204255,,0.42438190347845645,1.968408832873224,,0.40501028793517735,,,,0.3950105483823567,,,,2,0,3,3,0,3,1,0,0,3,0,0,0,"['14', '14', '14']"
-93.262146,44.975353,90,-113.45,,-106.03,-113.9,,-102.3,,,,-102.28,,,,-113.45,,-106.03,-113.9,,-102.3,,,,-102.28,,,,-113.45,,-106.03,-113.9,,-102.3,,,,-102.28,,,,,,,,,,,,,,,,,1,0,1,1,0,1,0,0,0,1,0,0,0,['14']
