Lon,Lat,GPS Head,PCI12866_mean,PCI16266_mean,PCI20266_mean,PCI22466_mean,PCI28866_mean,PCI12813_mean,PCI16213_mean,PCI20213_mean,PCI22413_mean,PCI28813_mean,PCI12866_max,PCI16266_max,PCI20266_max,PCI22466_max,PCI28866_max,run_max,PCI12813_max,PCI16213_max,PCI20213_max,PCI22413_max,PCI28813_max,PCI12866_min,PCI16266_min,PCI20266_min,PCI22466_min,PCI28866_min,run_min,PCI12813_min,PCI16213_min,PCI20213_min,PCI22413_min,PCI28813_min,PCI12866_std,PCI16266_std,PCI20266_std,PCI22466_std,PCI28866_std,PCI12813_std,PCI16213_std,PCI20213_std,PCI22413_std,PCI28813_std,PCI12866_count,PCI16266_count,PCI20266_count,PCI22466_count,PCI28866_count,run_count,PCI12813_count,PCI16213_count,PCI20213_count,PCI22413_count,PCI28813_count,run
-93.262192,44.975349,120,-79.81333333333333,,,-79.59333333333333,-78.84666666666666,,,,,,-78.31,,,-77.5,-76.13,14,,,,,,-81.19,,,-81.25,-81.16,14,,,,,,1.444172196565675,,,1.91275542956577,2.5391402744498652,,,,,,3,0,0,3,3,3,0,0,0,0,0,"['14', '14', '14']"
-93.262184,44.975349,120,-75.875,,,-79.345,-75.63,,,,,,-74.5,,,-79.06,-75.38,14,,,,,,-77.25,,,-79.63,-75.88,14,,,,,,1.9445436482630056,,,0.4030508652763273,0.3535533905932738,,,,,,2,0,0,2,2,2,0,0,0,0,0,"['14', '14']"
-93.262177,44.975349,120,-73.67,,,-82.19,-75.54666666666667,,,,,-69.675,-72.84,,,-81.97,-74.47,14,,,,,-68.82,-74.5,,,-82.41,-77.59,14,,,,,-70.53,1.1737972567696664,,,0.3111269837220793,1.7704330920239102,,,,,1.209152595829002,2,0,0,2,3,5,0,0,0,0,2,"['14', '14', '14', '14', '14']"
-93.262169,44.975349,120,,,,,,,,,,-66.575,,,,,,14,,,,,-66.2,,,,,,14,,,,,-66.95,,,,,,,,,,0.5303300858899106,0,0,0,0,0,2,0,0,0,0,2,"['14', '14']"
-93.262161,44.975349,120,,,,,,,,,,-66.7,,,,,,14,,,,,-66.26,,,,,,14,,,,,-66.96,,,,,,,,,,0.3831448812133534,0,0,0,0,0,3,0,0,0,0,3,"['14', '14', '14']"
-93.262154,44.975349,120,,,,,,,,,,-66.922,,,,,,14,,,,,-65.56,,,,,,14,,,,,-68.83,,,,,,,,,,1.5839412867906448,0,0,0,0,0,5,0,0,0,0,5,"['14', '14', '14', '14', '14']"
-93.262146,44.975353,90,,,,,,,,,,-66.45,,,,,,14,,,,,-66.45,,,,,,14,,,,,-66.45,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,1,['14']
-93.262146,44.975353,120,,,,,,,,,,-64.95,,,,,,14,,,,,-64.95,,,,,,14,,,,,-64.95,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,1,['14']
-93.262146,44.975357,90,,,,,,,,,,-65.49,,,,,,14,,,,,-65.49,,,,,,14,,,,,-65.49,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,1,['14']
-93.262138,44.975357,90,,,,,,,,,,-66.37,,,,,,14,,,,,-65.45,,,,,,14,,,,,-67.29,,,,,,,,,,1.30107647738325,0,0,0,0,0,2,0,0,0,0,2,"['14', '14']"
-93.262131,44.975361,90,,,,,,,,,,-65.53,,,,,,14,,,,,-62.89,,,,,,14,,,,,-68.54,,,,,,,,,,2.039571033330296,0,0,0,0,0,5,0,0,0,0,5,"['14', '14', '14', '14', '14']"
-93.262123,44.975361,90,,,,,,,,,,-66.64,,,,,,14,,,,,-66.64,,,,,,14,,,,,-66.64,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,1,['14']
-93.262123,44.975361,120,,,,,,,,,,-69.05,,,,,,14,,,,,-69.05,,,,,,14,,,,,-69.05,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,1,['14']
-93.262115,44.975361,120,,,,,,,,,,-70.75,,,,,,14,,,,,-70.75,,,,,,14,,,,,-70.75,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,1,['14']
-93.262108,44.975361,120,,,,,,,,,,-70.15599999999999,,,,,,14,,,,,-67.44,,,,,,14,,,,,-71.31,,,,,,,,,,1.6054687788929491,0,0,0,0,0,5,0,0,0,0,5,"['14', '14', '14', '14', '14']"
-93.262093,44.975349,120,,,,,,,,,,-70.47333333333334,,,,,,14,,,,,-69.54,,,,,,14,,,,,-71.38,,,,,,,,,,0.9202898094259874,0,0,0,0,0,3,0,0,0,0,3,"['14', '14', '14']"
-93.262085,44.975349,120,,,,,,,,,,-70.10333333333334,,,,,,14,,,,,-69.24,,,,,,14,,,,,-71.33,,,,,,,,,,1.0913447362466804,0,0,0,0,0,3,0,0,0,0,3,"['14', '14', '14']"
-93.262077,44.975296,300,,,,,,,,,,-72.63,,,,,,7,,,,,-72.63,,,,,,7,,,,,-72.63,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,1,['7']
-93.262077,44.9753,300,,,,,,,,,,-73.31,,,,,,7,,,,,-73.31,,,,,,7,,,,,-73.31,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,1,['7']
