Lon,Lat,GPS Head,PCI,Band,RSRP_mean,RSRQ_mean,RSSI_mean,SINR_mean,Pathloss_mean,BLER_mean,CQI_mean,run
-93.26255,44.976276,330,288,Band 66,-86.94,-16.78,-49.995000000000005,2.66,101.435,18.685,4.545,"['12', '12']"
-93.26255,44.97628,330,288,Band 66,-86.04799999999999,-16.264,-49.418000000000006,3.19,101.286,23.472,4.593999999999999,"['12', '12', '12', '12', '12']"
-93.26255,44.976284,330,288,Band 66,-84.18333333333334,-16.19333333333333,-47.846666666666664,5.966666666666666,100.63,21.503333333333334,6.22,"['12', '12', '12']"
-93.26255,44.976288,330,288,Band 66,-84.77,-16.55333333333333,-48.04333333333333,4.463333333333334,99.56333333333333,21.473333333333333,5.513333333333333,"['12', '12', '12']"
-93.26255,44.976292,210,288,Band 66,-83.89,-16.3,-47.24,4.19,99.0,22.94,5.5,['12']
-93.26255,44.976292,240,288,Band 66,-84.67,-15.61,-48.54,4.79,99.0,19.21,4.91,['12']
-93.26255,44.976292,270,288,Band 66,-84.2,-15.71,-48.22,2.94,99.18,17.02,4.9,['12']
-93.26255,44.976292,300,288,Band 66,-84.32,-16.08,-47.22,5.03,99.56,28.86,5.45,['12']
-93.26255,44.976292,330,288,Band 66,-85.11,-16.34769230769231,-48.449999999999996,4.604615384615385,100.06615384615384,22.98692307692307,5.385384615384615,"['12', '12', '12', '12', '12', '12', '12', '12', '12', '12', '12', '12', '12']"
-93.262543,44.976269,330,288,Band 66,-84.78999999999999,-16.306,-48.124,3.9220000000000006,99.734,21.808,5.539999999999999,"['12', '12', '12', '12', '12']"
-93.262543,44.976273,330,288,Band 66,-86.24,-16.503333333333334,-49.47,1.8233333333333335,99.84999999999998,27.2,4.976666666666667,"['12', '12', '12']"
-93.262543,44.976292,30,288,Band 66,-84.255,-16.605,-47.2125,3.2750000000000004,99.005,22.424999999999997,4.7425,"['12', '12', '12', '12']"
-93.262543,44.976292,60,288,Band 66,-84.48,-16.67,-47.63,3.69,99.0,29.73,4.0,['12']
-93.262543,44.976292,90,288,Band 66,-84.13,-15.92,-47.66,2.62,99.55,23.03,4.92,['12']
-93.262543,44.976292,120,288,Band 66,-85.04,-16.59,-47.68,3.93,100.0,24.49,4.55,['12']
-93.262543,44.976292,180,288,Band 66,-84.48,-16.82,-47.41,3.65,99.0,26.67,4.91,['12']
-93.262535,44.976269,330,288,Band 66,-84.395,-16.932499999999997,-47.267500000000005,3.1500000000000004,98.9725,17.95,6.025,"['12', '12', '12', '12']"
-93.262535,44.976295,30,288,Band 66,-84.7625,-16.7725,-47.695,2.6075,99.01,26.035,4.555,"['12', '12', '12', '12']"
-93.262527,44.976265,330,288,Band 66,-84.305,-16.725,-47.28,2.7750000000000004,98.0,20.07,6.525,"['12', '12']"
-93.262527,44.976269,330,288,Band 66,-83.40833333333333,-16.421666666666667,-46.685,3.863333333333333,97.59333333333332,18.77,6.433333333333333,"['12', '12', '12', '12', '12', '12']"
-93.262527,44.976299,30,288,Band 66,-84.285,-16.725,-47.370000000000005,4.395,99.72999999999999,22.285,5.0600000000000005,"['12', '12']"
-93.262527,44.976299,60,288,Band 66,-83.80666666666666,-16.103333333333335,-47.28666666666666,4.345,98.685,21.853333333333335,4.765,"['12', '12', '12', '12', '12', '12']"
-93.26252,44.976246,330,288,Band 66,-83.77333333333333,-16.783333333333335,-46.97,2.736666666666667,98.94333333333333,24.64,5.420000000000001,"['12', '12', '12']"
-93.26252,44.97625,330,288,Band 66,-83.55250000000001,-16.427500000000002,-46.8625,2.795,98.0,23.3275,5.3825,"['12', '12', '12', '12']"
-93.26252,44.976254,330,288,Band 66,-84.30666666666667,-16.709999999999997,-47.083333333333336,1.9766666666666666,97.91000000000001,23.540000000000003,5.513333333333333,"['12', '12', '12']"
-93.26252,44.976257,330,288,Band 66,-84.47333333333333,-16.543333333333333,-47.10999999999999,2.5366666666666666,98.47666666666667,28.516666666666666,6.196666666666666,"['12', '12', '12']"
-93.26252,44.976261,330,288,Band 66,-84.08599999999998,-16.778,-47.218,2.534,98.002,22.782,5.901999999999999,"['12', '12', '12', '12', '12']"
-93.26252,44.976265,330,288,Band 66,-84.315,-16.88,-47.21,2.285,98.125,19.205,5.955,"['12', '12']"
-93.26252,44.976299,60,288,Band 66,-82.58500000000001,-16.178000000000004,-45.995000000000005,5.273999999999999,97.378,22.362000000000002,4.7090000000000005,"['12', '12', '12', '12', '12', '12', '12', '12', '12', '12']"
-93.262512,44.976238,330,288,Band 66,-84.77799999999999,-17.338,-47.428,0.5159999999999999,98.994,20.25,4.4719999999999995,"['12', '12', '12', '12', '12']"
-93.262512,44.976242,330,288,Band 66,-85.17,-17.17,-47.65333333333333,0.1433333333333333,99.0,23.486666666666668,5.27,"['12', '12', '12']"
-93.262512,44.976299,60,288,Band 66,-81.755,-16.295,-45.43,4.89,97.47,25.29,5.6850000000000005,"['12', '12']"
-93.262512,44.976299,90,288,Band 66,-80.45166666666667,-16.245,-44.16833333333333,5.805,94.98833333333334,22.933333333333334,6.511666666666667,"['12', '12', '12', '12', '12', '12']"
-93.262505,44.976234,330,288,Band 66,-84.72999999999999,-17.2025,-47.455000000000005,1.045,98.905,24.5875,5.0525,"['12', '12', '12', '12']"
-93.262505,44.976295,90,288,Band 66,-81.05,-16.244999999999997,-44.667500000000004,4.9475,94.725,26.447499999999998,6.3475,"['12', '12', '12', '12']"
-93.262497,44.976227,330,288,Band 66,-83.65333333333335,-17.38,-46.07333333333333,2.42,98.26666666666667,21.92,5.423333333333333,"['12', '12', '12']"
-93.262497,44.976231,330,288,Band 66,-84.81,-17.074,-47.346000000000004,1.766,98.962,23.892000000000003,5.23,"['12', '12', '12', '12', '12']"
-93.262497,44.976292,90,288,Band 66,-80.578,-16.32,-44.148,3.8819999999999992,95.208,18.836,6.217999999999999,"['12', '12', '12', '12', '12']"
-93.262497,44.976292,120,288,Band 66,-79.30333333333334,-16.13,-42.93333333333334,6.146666666666667,94.41333333333334,23.856666666666666,6.03,"['12', '12', '12']"
-93.262489,44.976215,330,288,Band 66,-83.59,-16.295,-47.14,2.465,97.09,25.82,5.365,"['12', '12']"
-93.262489,44.976219,330,288,Band 66,-84.73133333333332,-16.768666666666668,-47.524,1.9300000000000002,99.19733333333333,23.383333333333336,5.855333333333333,"['12', '12', '12', '12', '12', '12', '12', '12', '12', '12', '12', '12', '12', '12', '12']"
-93.262489,44.976223,330,288,Band 66,-83.47666666666667,-16.463333333333335,-46.576666666666675,1.4733333333333334,98.78666666666668,23.543333333333333,5.66,"['12', '12', '12']"
-93.262489,44.976288,120,288,Band 66,-80.63666666666666,-16.673333333333332,-43.93666666666667,5.669999999999999,94.61333333333334,22.823333333333334,6.359999999999999,"['12', '12', '12']"
-93.262489,44.976292,120,288,Band 66,-80.71428571428571,-16.595714285714287,-44.02428571428572,4.571428571428571,94.60428571428572,28.23142857142857,6.098571428571428,"['12', '12', '12', '12', '12', '12', '12']"
-93.262482,44.976208,330,288,Band 66,-84.39,-16.96,-46.88,1.21,97.72,26.47,5.73,['12']
-93.262482,44.976212,330,288,Band 66,-84.202,-17.0,-46.88000000000001,1.6619999999999997,98.038,22.462,5.57,"['12', '12', '12', '12', '12']"
-93.262482,44.976215,330,288,Band 66,-82.88,-16.57,-46.13,2.435,98.0,20.240000000000002,5.18,"['12', '12']"
-93.262482,44.976231,210,288,Band 66,-80.72,-16.89,-43.12,4.78,93.8,16.67,6.0,['12']
-93.262482,44.976231,240,288,Band 66,-79.59,-15.2,-44.34,5.25,94.0,18.82,6.0,['12']
-93.262482,44.976231,300,288,Band 66,-81.09,-16.275,-44.4225,4.1375,95.4225,24.932499999999997,5.5625,"['12', '12', '12', '12']"
-93.262482,44.976234,90,288,Band 66,-79.04,-16.41,-42.53,5.23,93.76,22.84,6.33,['12']
-93.262482,44.976234,120,288,Band 66,-79.64,-17.26,-42.29,4.89,93.5,18.08,6.0,['12']
-93.262482,44.976234,150,288,Band 66,-78.13,-17.03,-41.09,5.12,93.49,17.79,6.0,['12']
-93.262482,44.976234,180,288,Band 66,-80.66,-17.65,-42.78,4.05,93.0,18.5,6.0,['12']
-93.262482,44.976234,300,288,Band 66,-82.16250000000001,-16.854999999999997,-44.8875,3.7475,96.19,21.215,5.9325,"['12', '12', '12', '12']"
