Lon,Lat,GPS Head,PCI,Band,RSRP_mean,RSRQ_mean,RSSI_mean,SINR_mean,Pathloss_mean,BLER_mean,CQI_mean,run
-93.264603,44.975101,150,288,Band 13,-90.3,-18.74,-53.93,2.76,110.62,8.7,4.0,['3']
-93.264595,44.975105,150,288,Band 13,-91.36666666666667,-19.686666666666667,-54.66,1.4100000000000001,111.0,12.696666666666665,4.133333333333334,"['3', '3', '3']"
-93.264595,44.975105,180,288,Band 13,-89.91,-19.78,-53.03,1.53,111.4,35.71,4.86,['3']
-93.264587,44.975109,180,288,Band 13,-91.024,-19.134,-54.85600000000001,1.2319999999999998,111.984,10.144,5.1739999999999995,"['3', '3', '3', '3', '3']"
-93.264587,44.975113,120,288,Band 13,-91.22,-18.93,-55.29,0.55,111.7,5.8,5.0,['3']
-93.264587,44.975113,150,288,Band 13,-91.975,-20.195,-54.785,-1.53,112.58500000000001,14.675,4.305,"['3', '3']"
-93.264587,44.975117,90,288,Band 13,-88.63,-16.03,-55.61,0.93,112.0,8.7,7.0,['3']
-93.264587,44.975117,120,288,Band 13,-89.575,-17.490000000000002,-55.03,0.6699999999999999,111.595,13.094999999999999,6.35,"['3', '3']"
-93.264587,44.975136,90,288,Band 13,-92.44,-15.75,-58.56,-5.3,111.5,5.8,7.0,['3']
-93.26458,44.975151,120,288,Band 13,-91.41,-14.27,-59.5,-0.48,111.0,2.9,7.0,['3']
-93.26458,44.975151,180,288,Band 13,-92.22,-15.97,-58.62,-2.52,111.014,0.0,7.0,['3']
-93.26458,44.975151,210,288,Band 13,-91.68,-15.46,-59.23,-4.06,111.028,0.0,6.0,['3']
-93.264557,44.975185,210,288,Band 13,-91.45,-14.67,-59.3,-1.57,111.042,0.0,7.0,['3']
-93.264549,44.975185,210,288,Band 13,-91.51,-14.67,-59.85,-3.39,111.056,0.0,7.0,['3']
-93.264549,44.975189,210,288,Band 13,-90.63,-14.32,-58.58,-2.33,111.07,0.0,7.0,['3']
-93.264542,44.975224,210,288,Band 13,-90.35,-13.93,-59.38,0.72,111.084,0.0,8.0,['3']
-93.264542,44.975227,210,288,Band 13,-90.9,-15.05,-58.68,-0.69,111.098,0.0,8.0,['3']
-93.264519,44.975262,210,288,Band 13,-89.04,-14.17,-57.88,1.11,111.112,0.0,8.0,['3']
-93.264519,44.975266,210,288,Band 13,-88.01,-14.14,-56.88,2.2,111.126,0.0,8.0,['3']
-93.264488,44.9753,210,288,Band 13,-89.745,-14.530000000000001,-57.945,1.455,111.07,0.0,8.75,"['3', '3']"
-93.264458,44.975342,210,288,Band 13,-91.0,-12.975,-60.085,2.6,111.1,0.0,8.75,"['3', '3']"
-93.264427,44.975361,210,288,Band 13,-90.63,-14.31,-59.03,2.65,111.33333333333333,0.0,9.0,['3']
-93.264427,44.975361,240,288,Band 13,-90.94999999999999,-14.25,-58.915,2.585,111.23333333333333,0.0,9.5,"['3', '3']"
-93.264404,44.975395,240,288,Band 13,-91.38,-15.8,-58.45,-0.83,111.4,0.0,8.0,['3']
-93.264397,44.975399,240,288,Band 13,-92.08,-16.77,-58.23,-1.12,111.46666666666667,0.0,7.5,['3']
-93.264366,44.975426,210,288,Band 13,-90.48666666666668,-14.5,-57.903333333333336,-0.12,111.59999999999998,0.0,7.333333333333333,"['3', '3', '3']"
-93.264359,44.975433,210,288,Band 13,-92.0,-15.47,-59.53,0.3,111.73333333333333,0.0,9.0,['3']
-93.264351,44.975437,210,288,Band 13,-92.435,-15.135,-60.11,-0.615,111.83333333333333,7.0,8.25,"['3', '3']"
-93.264351,44.975441,210,288,Band 13,-91.73333333333333,-15.098333333333334,-59.595,-0.03499999999999992,111.74255555555555,19.366666666666667,8.221666666666666,"['3', '3', '3', '3', '3', '3']"
-93.264351,44.975445,210,288,Band 13,-94.03,-14.8,-61.54,-1.48,111.174,15.79,7.33,['3']
-93.264343,44.975445,210,288,Band 13,-93.37,-13.29,-61.900000000000006,0.95,111.087,17.715,8.5,"['3', '3']"
-93.264343,44.975449,210,288,Band 13,-92.56,-15.684000000000001,-59.18399999999999,1.784,111.76399999999998,22.04,9.084,"['3', '3', '3', '3', '3']"
-93.264343,44.975452,210,288,Band 13,-93.71,-15.32,-59.47,1.62,112.0,10.14,8.25,['3']
-93.264336,44.975452,210,288,Band 13,-94.125,-16.72,-59.315,-0.61,112.33500000000001,22.57,7.5,"['3', '3']"
-93.264336,44.975456,210,288,Band 13,-93.265,-16.240000000000002,-58.405,-0.36,112.425,15.765,7.575,"['3', '3']"
-93.264328,44.975456,210,288,Band 13,-93.62,-15.84,-59.21,-0.62,112.0,21.74,7.33,['3']
-93.264328,44.97546,210,288,Band 13,-92.71214285714287,-16.444285714285716,-58.67785714285715,1.657142857142857,111.55857142857144,22.772142857142857,8.684285714285714,"['3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3']"
-93.264328,44.975464,210,288,Band 13,-91.64333333333332,-16.46666666666667,-58.10333333333333,2.823333333333333,111.00999999999999,20.650000000000002,9.34,"['3', '3', '3']"
-93.264328,44.975468,210,288,Band 13,-92.25999999999999,-15.64,-58.93666666666667,3.9566666666666666,111.66000000000001,22.033333333333335,9.386666666666667,"['3', '3', '3']"
-93.264328,44.975471,210,288,Band 13,-92.962,-16.348,-59.339999999999996,1.436,111.46399999999998,23.354,8.712,"['3', '3', '3', '3', '3']"
-93.264328,44.975475,210,288,Band 13,-92.21000000000001,-14.73,-59.98,2.185,109.83,26.675,9.395,"['3', '3']"
-93.26432,44.975475,210,288,Band 13,-92.195,-14.325,-60.08,6.04,110.0,15.9,10.0,"['3', '3']"
-93.26432,44.975479,210,288,Band 13,-91.29333333333334,-15.066666666666665,-58.913333333333334,4.51,109.71166666666666,21.029999999999998,9.811666666666667,"['3', '3', '3', '3', '3', '3']"
-93.26432,44.975483,210,288,Band 13,-91.435,-15.01,-58.805,4.595000000000001,110.0,30.435000000000002,10.685,"['3', '3']"
-93.26432,44.975487,210,288,Band 13,-92.94333333333334,-14.653333333333334,-60.20000000000001,5.306666666666666,110.31,18.57,9.11,"['3', '3', '3']"
-93.26432,44.975491,210,288,Band 13,-92.65571428571427,-15.510000000000002,-58.82142857142857,3.722857142857143,111.65285714285714,25.534285714285712,8.67,"['3', '3', '3', '3', '3', '3', '3']"
-93.264313,44.975491,210,288,Band 13,-93.10375,-15.471250000000001,-59.79625,2.7762499999999997,110.78625000000001,27.95375,8.445,"['3', '3', '3', '3', '3', '3', '3', '3']"
-93.264313,44.975494,210,288,Band 13,-91.575,-14.7,-59.4675,3.9324999999999997,110.36,13.0675,9.61,"['3', '3', '3', '3']"
-93.264313,44.975498,210,288,Band 13,-92.84400000000001,-15.741999999999999,-59.77,2.466,111.11600000000001,13.094,9.066,"['3', '3', '3', '3', '3']"
-93.264313,44.975502,210,288,Band 13,-93.2,-15.33,-60.03,4.08,111.0,14.67,9.67,['3']
-93.264305,44.975502,210,288,Band 13,-92.095,-15.205,-59.370000000000005,3.59,111.3,15.084999999999999,9.23,"['3', '3']"
-93.264305,44.975506,210,288,Band 13,-92.53,-15.100000000000001,-60.14,2.965,111.47,14.42,10.0,"['3', '3']"
-93.264297,44.975506,210,288,Band 13,-93.71,-15.68,-59.81,2.05,112.08,6.52,9.86,['3']
-93.264297,44.97551,210,288,Band 13,-93.32428571428571,-16.167142857142856,-59.80142857142857,1.304285714285714,111.56428571428572,17.262857142857143,9.182857142857143,"['3', '3', '3', '3', '3', '3', '3']"
-93.26429,44.97551,210,288,Band 13,-92.27,-14.56,-59.96,2.07,109.88000000000001,26.565,10.0,['3']
-93.264282,44.97554,210,288,Band 13,-91.62,-13.504999999999999,-61.125,1.945,109.64,13.2825,9.5,"['3', '3']"
-93.264275,44.97554,210,288,Band 13,-89.75,-12.76,-60.01,0.52,109.4,0.0,10.0,['3']
-93.264252,44.975559,210,288,Band 13,-90.21999999999998,-11.903333333333334,-60.50666666666667,3.2900000000000005,108.30256410256409,0.0,9.666666666666666,"['3', '3', '3']"
-93.264229,44.97559,210,288,Band 13,-92.31,-13.145,-62.05500000000001,2.11,108.49423076923077,0.0,9.25,"['3', '3']"
-93.264206,44.975605,210,288,Band 13,-92.65,-10.83,-63.19,3.93,108.79076923076923,0.0,9.0,['3']
